"ons_code","name","mp","percsigned","Remain","polParty","EER17CD","EER17NM","partyColour"
"E14000530","Aldershot","Leo Docherty MP",7.0097796857477,42.1,"Conservative","E15000008","South East","#0087DC"
"E14000531","Aldridge-Brownhills","Wendy Morton MP",3.6327185244587,32.2,"Conservative","E15000005","West Midlands","#0087DC"
"E14000532","Altrincham and Sale West","Sir Graham Brady MP",13.3820959285391,61.4,"Conservative","E15000002","North West","#0087DC"
"E14000533","Amber Valley","Nigel Mills MP",4.3129085751093,34.7,"Conservative","E15000004","East Midlands","#0087DC"
"E14000534","Arundel and South Downs","Rt Hon Nick Herbert MP",12.2017120469646,50.3,"Conservative","E15000008","South East","#0087DC"
"E14000535","Ashfield","Gloria De Piero MP",3.06892344865979,29.5,"Labour","E15000004","East Midlands","#DC241f"
"E14000536","Ashford","Rt Hon Damian Green MP",7.44675183531693,40.1,"Conservative","E15000008","South East","#0087DC"
"E14000537","Ashton-under-Lyne","Angela Rayner MP",4.22282245488973,38.2,"Labour","E15000002","North West","#DC241f"
"E14000538","Aylesbury","Rt Hon David Lidington MP",8.24450705432419,48.2,"Conservative","E15000008","South East","#0087DC"
"E14000539","Banbury","Victoria Prentis MP",10.0164980086798,49.7,"Conservative","E15000008","South East","#0087DC"
"E14000540","Barking","Rt Hon Dame Margaret Hodge MP",4.12987253861451,40,"Labour","E15000007","London","#DC241f"
"E14000541","Barnsley Central","Dan Jarvis MP",3.32277601822526,31.8,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000542","Barnsley East","Stephanie Peacock MP",2.49257048004069,29,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000543","Barrow and Furness","John Woodcock MP",5.09474284086052,42.7,"Independent","E15000002","North West","#DDDDDD"
"E14000544","Basildon and Billericay","Mr John Baron MP",5.47516139621403,32.9,"Conservative","E15000006","Eastern","#0087DC"
"E14000545","Basingstoke","Rt Hon Maria Miller MP",8.5150148622837,46.4,"Conservative","E15000008","South East","#0087DC"
"E14000546","Bassetlaw","John Mann MP",3.58528037383178,31.7,"Labour","E15000004","East Midlands","#DC241f"
"E14000547","Bath","Wera Hobhouse MP",18.5397026257513,68.3,"Liberal Democrat","E15000009","South West","#FAA61A"
"E14000548","Batley and Spen","Tracy Brabin MP",3.71451438256203,40.4,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000549","Battersea","Marsha De Cordova MP",20.5070067705873,78,"Labour","E15000007","London","#DC241f"
"E14000550","Beaconsfield","Rt Hon Dominic Grieve QC MP",11.2177370106806,51,"Conservative","E15000008","South East","#0087DC"
"E14000551","Beckenham","Bob Stewart MP",13.0613762149957,53.4,"Conservative","E15000007","London","#0087DC"
"E14000552","Bedford","Mohammad Yasin MP",7.19492209475821,48.1,"Labour","E15000006","Eastern","#DC241f"
"E14000553","Bermondsey and Old Southwark","Neil Coyle MP",16.8556133554075,73.9,"Labour","E15000007","London","#DC241f"
"E14000554","Berwick-upon-Tweed","Anne-Marie Trevelyan MP",6.62862020994056,44.7,"Conservative","E15000001","North East","#0087DC"
"E14000555","Bethnal Green and Bow","Rushanara Ali MP",16.7310644610422,69.1,"Labour","E15000007","London","#DC241f"
"E14000556","Beverley and Holderness","Graham Stuart MP",5.76157731394146,41.3,"Conservative","E15000003","Yorkshire and The Humber","#0087DC"
"E14000557","Bexhill and Battle","Huw Merriman MP",8.16710532391375,42.3,"Conservative","E15000008","South East","#0087DC"
"E14000558","Bexleyheath and Crayford","Rt Hon Sir David Evennett MP",5.54724093012943,34.7,"Conservative","E15000007","London","#0087DC"
"E14000559","Birkenhead","Rt Hon Frank Field MP",6.53793697509152,48.3,"Independent","E15000002","North West","#DDDDDD"
"E14000560","Birmingham, Edgbaston","Preet Kaur Gill MP",7.92265406500145,52.7,"Labour","E15000005","West Midlands","#DC241f"
"E14000561","Birmingham, Erdington","Jack Dromey MP",3.41085672847819,37,"Labour","E15000005","West Midlands","#DC241f"
"E14000562","Birmingham, Hall Green","Mr Roger Godsiff MP",8.09618962309653,66.4,"Labour","E15000005","West Midlands","#DC241f"
"E14000563","Birmingham, Hodge Hill","Rt Hon Liam Byrne MP",2.12940686592024,48.5,"Labour","E15000005","West Midlands","#DC241f"
"E14000564","Birmingham, Ladywood","Shabana Mahmood MP",4.86300060969506,64.4,"Labour","E15000005","West Midlands","#DC241f"
"E14000565","Birmingham, Northfield","Richard Burden MP",5.14665403474632,38.2,"Labour","E15000005","West Midlands","#DC241f"
"E14000566","Birmingham, Perry Barr","Mr Khalid Mahmood MP",2.83765018414538,48.8,"Labour","E15000005","West Midlands","#DC241f"
"E14000567","Birmingham, Selly Oak","Steve McCabe MP",9.19960451587685,53.1,"Labour","E15000005","West Midlands","#DC241f"
"E14000568","Birmingham, Yardley","Jess Phillips MP",3.45482202616368,39.9,"Labour","E15000005","West Midlands","#DC241f"
"E14000569","Bishop Auckland","Helen Goodman MP",4.2217388879594,39.1,"Labour","E15000001","North East","#DC241f"
"E14000570","Blackburn","Kate Hollern MP",2.96365661064993,46.3,"Labour","E15000002","North West","#DC241f"
"E14000571","Blackley and Broughton","Graham Stringer MP",4.76042458152011,50,"Labour","E15000002","North West","#DC241f"
