ons_code,name,mp,percsigned,Remain,polParty,EER17CD,EER17NM,partyColour
E14001057,Wyre and Preston North,Rt Hon Ben Wallace MP,1.717520629,45.8,Conservative,E15000002,North West,#0087DC
E14001058,Wyre Forest,Mark Garnier MP,1.345567254,36.9,Conservative,E15000005,West Midlands,#0087DC
E14001059,Wythenshawe and Sale East,Mike Kane MP,2.474724795,50.4,Labour,E15000002,North West,#DC241f
E14001060,Yeovil,Mr Marcus Fysh MP,1.586767214,40.1,Conservative,E15000009,South West,#0087DC
E14001061,York Central,Rachael Maskell MP,4.326809207,61.2,Labour,E15000003,Yorkshire and The Humber,#DC241f
E14001062,York Outer,Julian Sturdy MP,3.128769698,55.3,Conservative,E15000003,Yorkshire and The Humber,#0087DC
N06000001,Belfast East,Gavin Robinson MP,1.912717309,48.1,Democratic Unionist Party,N07000001,Northern Ireland,#D46A4C
N06000002,Belfast North,Rt Hon Nigel Dodds MP,1.429234688,50.4,Democratic Unionist Party,N07000001,Northern Ireland,#D46A4C
N06000003,Belfast South,Emma Little Pengelly MP,3.001413942,69.5,Democratic Unionist Party,N07000001,Northern Ireland,#D46A4C
N06000004,Belfast West,Paul Maskey MP,1.154520446,74.1,Sinn Féin,N07000001,Northern Ireland,#326760
N06000005,East Antrim,Rt Hon Sammy Wilson MP,1.216333623,44.8,Democratic Unionist Party,N07000001,Northern Ireland,#D46A4C
N06000006,East Londonderry,Mr Gregory Campbell MP,0.886189891,52,Democratic Unionist Party,N07000001,Northern Ireland,#D46A4C
N06000007,Fermanagh and South Tyrone,Michelle Gildernew MP,0.871878233,58.6,Sinn Féin,N07000001,Northern Ireland,#326760
N06000008,Foyle,Elisha McCallion MP,1.745196206,78.3,Sinn Féin,N07000001,Northern Ireland,#326760
N06000009,Lagan Valley,Rt Hon Sir Jeffrey M. Donaldson MP,1.548853057,46.9,Democratic Unionist Party,N07000001,Northern Ireland,#D46A4C
N06000010,Mid Ulster,Francie Molloy MP,0.846752166,60.4,Sinn Féin,N07000001,Northern Ireland,#326760
N06000011,Newry and Armagh,Mickey Brady MP,1.058213073,62.9,Sinn Féin,N07000001,Northern Ireland,#326760
N06000012,North Antrim,Ian Paisley MP,0.706909696,37.8,Democratic Unionist Party,N07000001,Northern Ireland,#D46A4C
N06000013,North Down,Lady Hermon MP,1.779359431,52.4,Independent,N07000001,Northern Ireland,#DDDDDD
N06000014,South Antrim,Paul Girvan MP,1.293059126,58.8,Democratic Unionist Party,N07000001,Northern Ireland,#D46A4C
N06000015,South Down,Chris Hazzard MP,1.392899408,67.2,Sinn Féin,N07000001,Northern Ireland,#326760
N06000016,Strangford,Jim Shannon MP,1.177026445,44.5,Democratic Unionist Party,N07000001,Northern Ireland,#D46A4C
N06000017,Upper Bann,David Simpson MP,0.94693192,47.4,Democratic Unionist Party,N07000001,Northern Ireland,#D46A4C
N06000018,West Tyrone,Órfhlaith Begley MP,0.939020573,66.8,Sinn Féin,N07000001,Northern Ireland,#326760
