"ons_code","name","mp","percsigned","Remain","polParty","EER17CD","EER17NM","partyColour"
"E14000785","Leigh","Jo Platt MP",5.19558796938099,36.7,"Labour","E15000002","North West","#DC241f"
"E14000786","Lewes","Maria Caulfield MP",18.4293848446147,52.9,"Conservative","E15000008","South East","#0087DC"
"E14000787","Lewisham East","Janet Daby MP",15.9249272180595,64.6,"Labour","E15000007","London","#DC241f"
"E14000788","Lewisham West and Penge","Ellie Reeves MP",22.2159277597127,65.4,"Labour","E15000007","London","#DC241f"
"E14000789","Lewisham, Deptford","Vicky Foxcroft MP",24.4795600809741,75.6,"Labour","E15000007","London","#DC241f"
"E14000790","Leyton and Wanstead","John Cryer MP",17.3431219942848,65.2,"Labour","E15000007","London","#DC241f"
"E14000791","Lichfield","Michael Fabricant MP",8.56768875871543,42.5,"Conservative","E15000005","West Midlands","#0087DC"
"E14000792","Lincoln","Karen Lee MP",8.1366384655057,42.6,"Labour","E15000004","East Midlands","#DC241f"
"E14000793","Liverpool, Riverside","Dame Louise Ellman MP",12.8948631781085,72.7,"Labour","E15000002","North West","#DC241f"
"E14000794","Liverpool, Walton","Dan Carden MP",6.34248308487816,47.8,"Labour","E15000002","North West","#DC241f"
"E14000795","Liverpool, Wavertree","Luciana Berger MP",11.779475116949,64.7,"Independent","E15000002","North West","#DDDDDD"
"E14000796","Liverpool, West Derby","Stephen Twigg MP",7.40028499882403,50.2,"Labour","E15000002","North West","#DC241f"
"E14000797","Loughborough","Rt Hon Nicky Morgan MP",9.74154619451394,49.9,"Conservative","E15000004","East Midlands","#0087DC"
"E14000798","Louth and Horncastle","Victoria Atkins MP",5.0386282725049,31.1,"Conservative","E15000004","East Midlands","#0087DC"
"E14000799","Ludlow","Rt Hon Philip Dunne MP",9.38557286663047,42.1,"Conservative","E15000005","West Midlands","#0087DC"
"E14000800","Luton North","Kelvin Hopkins MP",5.38501068347172,40.8,"Independent","E15000006","Eastern","#DDDDDD"
"E14000801","Luton South","Mr Gavin Shuker MP",5.59487773864314,45.4,"Independent","E15000006","Eastern","#DDDDDD"
"E14000802","Macclesfield","David Rutley MP",14.4895501052269,52.8,"Conservative","E15000002","North West","#0087DC"
"E14000803","Maidenhead","Rt Hon Theresa May MP",16.0967462726597,55,"Conservative","E15000008","South East","#0087DC"
"E14000804","Maidstone and The Weald","Mrs Helen Grant MP",10.2160660908042,44.1,"Conservative","E15000008","South East","#0087DC"
"E14000805","Makerfield","Yvonne Fovargue MP",4.70460895612556,35.1,"Labour","E15000002","North West","#DC241f"
"E14000806","Maldon","Rt Hon John Whittingdale MP",7.39374041866207,39,"Conservative","E15000006","Eastern","#0087DC"
"E14000807","Manchester Central","Lucy Powell MP",11.2969090218747,63.6,"Labour","E15000002","North West","#DC241f"
"E14000808","Manchester, Gorton","Afzal Khan MP",11.1952376729337,61.8,"Labour","E15000002","North West","#DC241f"
"E14000809","Manchester, Withington","Jeff Smith MP",23.8656589052786,75.1,"Labour","E15000002","North West","#DC241f"
"E14000810","Mansfield","Ben Bradley MP",4.06630526890083,29.1,"Conservative","E15000004","East Midlands","#0087DC"
"E14000811","Meon Valley","George Hollingbery MP",10.9690391084945,48.1,"Conservative","E15000008","South East","#0087DC"
"E14000812","Meriden","Rt Hon Dame Caroline Spelman MP",8.14711844772661,41.2,"Conservative","E15000005","West Midlands","#0087DC"
"E14000813","Mid Bedfordshire","Ms Nadine Dorries MP",11.0165965512459,47.1,"Conservative","E15000006","Eastern","#0087DC"
"E14000814","Mid Derbyshire","Mrs Pauline Latham MP",10.6469495516843,47.5,"Conservative","E15000004","East Midlands","#0087DC"
"E14000815","Mid Dorset and North Poole","Michael Tomlinson MP",10.6664851866975,42.9,"Conservative","E15000009","South West","#0087DC"
"E14000816","Mid Norfolk","George Freeman MP",8.31071793606598,39.4,"Conservative","E15000006","Eastern","#0087DC"
